family,n_vars,avg_time_s,avg_basis_size,max_coeff_bits,weights
monomial,2,0.07342,1.0,1.0,"[1, 2]"
monomial,3,0.01678,4.0,1.0,"[1, 2, 3]"
monomial,4,0.03203,9.0,1.0,"[1, 2, 3, 4]"
monomial,5,0.05943,17.0,1.0,"[1, 2, 3, 4, 5]"
monomial,6,0.13539,27.0,1.0,"[1, 2, 3, 4, 5, 6]"
monomial,7,0.22229,40.0,1.0,"[1, 2, 3, 4, 5, 6, 7]"
monomial,8,0.40075,55.0,1.0,"[1, 2, 3, 4, 5, 6, 7, 8]"
prime,2,0.01126,1.0,7.0,"[1, 2]"
prime,3,0.02622,4.0,13.0,"[1, 2, 3]"
prime,4,0.0563,9.0,13.0,"[1, 2, 3, 4]"
prime,5,0.12952,17.0,21.0,"[1, 2, 3, 4, 5]"
prime,6,0.28843,27.0,21.0,"[1, 2, 3, 4, 5, 6]"
prime,7,0.64854,40.0,34.0,"[1, 2, 3, 4, 5, 6, 7]"
prime,8,1.43021,55.0,39.0,"[1, 2, 3, 4, 5, 6, 7, 8]"
