n_generators,n_processors,avg_time_s,speedup,efficiency
10,1,0.00347,1.0,1.0
10,2,0.40511,0.009,0.004
10,4,0.45728,0.008,0.002
10,8,0.59436,0.006,0.001
20,1,0.00645,1.0,1.0
20,2,0.39465,0.016,0.008
20,4,0.45002,0.014,0.004
20,8,0.60127,0.011,0.001
30,1,0.00872,1.0,1.0
30,2,0.4002,0.022,0.011
30,4,0.46792,0.019,0.005
30,8,0.61669,0.014,0.002
40,1,0.01092,1.0,1.0
40,2,0.42287,0.026,0.013
40,4,0.45986,0.024,0.006
40,8,0.60481,0.018,0.002
60,1,0.0239,1.0,1.0
60,2,0.41818,0.057,0.029
60,4,0.45913,0.052,0.013
60,8,0.61076,0.039,0.005
