label,n_processors,schedule,imbalance,idle_pct
"P(1,2,3) m=1",2,static,1.0834,7.7
"P(1,2,3) m=1",2,dynamic,1.3749,27.27
"P(1,2,3) m=1",4,static,1.173,14.75
"P(1,2,3) m=1",4,dynamic,1.4965,33.18
"P(1,2,3) m=1",8,static,1.0637,5.99
"P(1,2,3) m=1",8,dynamic,3.0661,67.39
"P(1,2,3,4) m=2",2,static,1.0352,3.4
"P(1,2,3,4) m=2",2,dynamic,1.0636,5.98
"P(1,2,3,4) m=2",4,static,1.0352,3.4
"P(1,2,3,4) m=2",4,dynamic,1.4441,30.75
"P(1,2,3,4) m=2",8,static,1.2084,17.25
"P(1,2,3,4) m=2",8,dynamic,1.8337,45.46
