family,n,m,weights,p,t_hom,t_elim,t_norm,t_total,basis_size,correct,speedup,efficiency
monomial,2,1,"[1, 2, 3]",1,0.03972886900010053,0.005872463998457533,0.0006089210000936873,0.06536414699803572,4,True,1.0,1.0
monomial,2,1,"[1, 2, 3]",2,0.003327305497805355,0.0033042495015251916,0.0004756439993798267,0.021186993000810617,4,True,3.085,1.543
monomial,2,1,"[1, 2, 3]",4,0.0009268664998671738,0.002621316998556722,0.0004584079997584922,0.01899520149891032,4,True,3.441,0.86
monomial,3,1,"[1, 2, 3, 4]",1,0.0017151684987766203,0.010358052499213954,0.0013800390006508678,0.04623626700049499,9,True,1.0,1.0
monomial,3,1,"[1, 2, 3, 4]",2,0.0013415174998954171,0.011358395000570454,0.0012098020015400834,0.04110196550209366,9,True,1.125,0.562
monomial,3,1,"[1, 2, 3, 4]",4,0.001225908999913372,0.008747571000640164,0.0016418574996350799,0.04031519999989541,9,True,1.147,0.287
monomial,4,1,"[1, 2, 3, 4, 5]",1,0.0020579905012709787,0.025330464501166716,0.00399420900066616,0.08996133700020437,17,True,1.0,1.0
monomial,4,1,"[1, 2, 3, 4, 5]",2,0.002153823497792473,0.028321353000137606,0.0020775350003532367,0.11619492799763975,17,True,0.774,0.387
monomial,4,1,"[1, 2, 3, 4, 5]",4,0.0021530739995796466,0.026254533499013633,0.0021237420005491003,0.0796143839997967,17,True,1.13,0.282
monomial,5,1,"[1, 2, 3, 4, 5, 6]",1,0.0035808100019494304,0.0707237829992664,0.0040186949991039,0.16484520950143633,27,True,1.0,1.0
monomial,5,1,"[1, 2, 3, 4, 5, 6]",2,0.001959851499123033,0.06476472800022748,0.00442124000073818,0.151531736501056,27,True,1.088,0.544
monomial,5,1,"[1, 2, 3, 4, 5, 6]",4,0.0026297309996152762,0.0697953190010594,0.003502763000142295,0.15507265950145666,27,True,1.063,0.266
monomial,6,1,"[1, 2, 3, 4, 5, 6, 7]",1,0.004341747999205836,0.1874701359993196,0.008934187000704696,0.35429801549980766,40,True,1.0,1.0
monomial,6,1,"[1, 2, 3, 4, 5, 6, 7]",2,0.02574548750089889,0.18892765249984222,0.007991874001163524,0.3559006329996919,40,True,0.995,0.498
monomial,6,1,"[1, 2, 3, 4, 5, 6, 7]",4,0.045086901998729445,0.15160364800249226,0.008975808499599225,0.32937744700029725,40,True,1.076,0.269
monomial,7,1,"[1, 2, 3, 4, 5, 6, 7, 8]",1,0.006814888000008068,0.3518975489987497,0.009892242498608539,0.5621027704983135,55,True,1.0,1.0
monomial,7,1,"[1, 2, 3, 4, 5, 6, 7, 8]",2,0.02266061149930465,0.3751455920009903,0.009437487498871633,0.6086837240000023,55,True,0.923,0.462
monomial,7,1,"[1, 2, 3, 4, 5, 6, 7, 8]",4,0.03862291350014857,0.35116533349901147,0.008680471501065767,0.5932432059998973,55,True,0.948,0.237
prime_mult,2,1,"[1, 2, 3]",1,0.004134450000492507,0.007704201500018826,0.0009822409992921166,0.03991642499931913,4,False,1.0,1.0
prime_mult,2,1,"[1, 2, 3]",2,0.003062786499867798,0.004715336001027026,0.000831156998174265,0.02784104799866327,4,False,1.434,0.717
prime_mult,2,1,"[1, 2, 3]",4,0.002230458499980159,0.005223060999924201,0.0006418909997591982,0.03358609700080706,4,False,1.188,0.297
prime_mult,3,1,"[1, 2, 3, 4]",1,0.00418417800028692,0.023719147999145207,0.0019828139993478544,0.07923847749952984,9,False,1.0,1.0
prime_mult,3,1,"[1, 2, 3, 4]",2,0.003585735001252033,0.019524479499523295,0.0019467440015432658,0.06776069250008732,9,False,1.169,0.585
prime_mult,3,1,"[1, 2, 3, 4]",4,0.002528053499190719,0.017015421499309014,0.001983979002034175,0.06371257099999639,9,False,1.244,0.311
prime_mult,4,1,"[1, 2, 3, 4, 5]",1,0.009276459999455255,0.07477222249872284,0.0047940335025487,0.2054768635007349,17,False,1.0,1.0
prime_mult,4,1,"[1, 2, 3, 4, 5]",2,0.0077870094992249506,0.10505311199995049,0.0070592829997622175,0.22155620449848357,17,False,0.927,0.464
prime_mult,4,1,"[1, 2, 3, 4, 5]",4,0.006837533499492565,0.0816198765005538,0.004860998500589631,0.19697016249847366,17,False,1.043,0.261
prime_mult,5,1,"[1, 2, 3, 4, 5, 6]",1,0.0112454495010752,0.24252481949952198,0.0063194470003509196,0.444084467499124,27,False,1.0,1.0
prime_mult,5,1,"[1, 2, 3, 4, 5, 6]",2,0.010830214001543936,0.2266972524994344,0.00711986249734764,0.4138766215000942,27,False,1.073,0.536
prime_mult,5,1,"[1, 2, 3, 4, 5, 6]",4,0.007791014000758878,0.22201092899922514,0.007150237499445211,0.3970117469998513,27,False,1.119,0.28
